ts_code,name,industry,market,close,pct_chg,open,high,low,volume,amount,turnover_rate,ma5,ma10,ma20,ma60,ma120,ma250,ma20_slope,ma60_slope,high_20d,low_20d,high_60d,low_60d,close_vs_20d_high,close_vs_60d_high,price_percentile_1y,volatility_20d,main_net_inflow_1d,main_net_inflow_3d,main_net_inflow_5d,main_net_inflow_10d,northbound_flow,rsi_14,macd_hist,trend_strength_score,price_above_ma20_days,price_above_ma60_days,pe_ttm,pb,roe,net_profit_yoy,debt_ratio,pe_percentile_5y,pb_percentile_5y,value_score,growth_score,capital_score,sector_score,final_score,score_market_regime,score_weight_value,score_weight_growth,score_weight_capital,score_weight_sector,future_return_10,future_return_30,future_return_60
000927.SZ,中国铁物,轨交设备Ⅱ,深交所,2.43,-0.4098,2.42,2.45,2.36,51739789.0,123898786.0,0.5781,2.482,2.484,2.578,2.8153,2.81,2.7473,-1.9958,-1.1701,2.75,2.43,3.34,2.43,-11.6364,-27.2455,0.0,27.2455,,,,,-3915032.4,20.7547,-0.0064,0.0,0.0,0.0,28.77124903,1.46198682,,,,68.595,0.0,-19.0082,21.0,37.0078,50.0,19.3499,neutral,0.25,0.35,0.25,0.15,,,
002328.SZ,新朋股份,汽车零部件,深交所,7.9,-0.3783,7.96,7.98,7.66,28320551.0,220530435.0,5.8499,8.01,7.983,8.8095,9.5932,8.2788,7.261,-5.6647,1.1475,10.49,7.73,13.4,6.46,-24.6902,-41.0448,80.5556,63.254,,,,,,17.0483,-0.1122,0.0,0.0,0.0,29.53054867,1.77345616,,,,68.7603,92.314,-42.1446,26.0,53.08,50.0,19.3338,neutral,0.25,0.35,0.25,0.15,,,
688726.SH,拉普拉斯,光伏设备,科创板,56.71,1.4853,56.02,58.2,53.4,15226560.0,850305334.0,4.7655,57.988,59.313,60.314,62.9823,59.7878,52.1789,-4.2065,-0.6089,68.75,55.88,74.25,54.87,-17.5127,-23.6229,63.0952,44.4936,,,,,,47.1512,-0.7254,0.0,0.0,0.0,42.37497839,4.94414129,,,,85.5362,41.6459,-35.3491,22.5,51.04,50.0,19.2977,neutral,0.25,0.35,0.25,0.15,,,
601231.SH,环旭电子,消费电子,上交所,37.49,-0.0533,38.01,38.71,36.12,58214830.0,2178248781.0,2.022,37.036,37.049,39.92,38.748,36.7037,27.526,-1.2028,0.3284,45.76,33.9,45.76,32.84,-18.0726,-18.0726,76.9841,92.3,,,,,10194227.52,44.5631,-0.7627,0.0,0.0,0.0,45.16891197,3.78126474,,,,93.3058,93.2231,-50.9628,30.3,55.6456,50.0,19.2757,neutral,0.25,0.35,0.25,0.15,,,
002181.SZ,粤 传 媒,出版,深交所,10.88,-1.7164,11.07,11.13,10.66,66455115.0,721392984.0,5.0237,11.53,13.201,14.392,14.3368,12.4282,10.2051,-5.8577,0.4378,18.16,10.88,19.69,10.74,-40.0881,-44.7435,65.0794,98.5926,,,,,-1132375.07,15.2008,-1.1094,0.0,0.0,0.0,165.99435841,2.85056146,,,,62.8759,91.157,-39.7958,24.5,52.5356,50.0,19.26,neutral,0.25,0.35,0.25,0.15,,,
002042.SZ,华孚时尚,纺织制造,深交所,3.87,3.2,3.78,3.87,3.7,38778398.0,147309026.0,1.5004,3.786,3.746,4.0035,4.4933,4.4114,4.6314,-6.6348,-0.9588,4.93,3.63,5.39,3.63,-21.501,-28.2004,4.3651,52.1006,,,,,-4488885.07,36.7521,0.0243,0.0,0.0,0.0,86.52288181,1.07929363,,,,54.3988,44.2149,-25.0933,24.0,38.4722,50.0,19.2447,neutral,0.25,0.35,0.25,0.15,,,
000543.SZ,皖能电力,电力,深交所,8.05,0.3741,8.01,8.09,7.8,50571736.0,401951168.0,1.3631,8.39,8.519,8.953,8.5377,8.4592,7.9866,-0.7153,0.0,9.82,8.02,9.82,7.95,-18.0244,-18.0244,48.4127,43.6919,,,,,-11932778.52,11.6883,-0.2791,0.0,0.0,0.0,8.38296847,1.02642075,,,,28.9941,48.1818,-17.1934,21.8,33.6211,50.0,19.2369,neutral,0.25,0.35,0.25,0.15,,,
601006.SH,大秦铁路,铁路公路,上交所,4.98,0.8097,4.93,4.99,4.81,128878011.0,630822292.0,0.4106,5.004,5.038,5.1165,5.249,5.203,5.6888,-2.1515,-0.4331,5.35,4.94,5.52,4.94,-6.9159,-9.7826,0.3968,14.5254,,,,,-16044294.88,26.9231,-0.029,25.0,0.0,0.0,16.79172032,0.57717216,,,,94.1322,0.0,-27.9463,31.8,30.2029,50.0,19.1942,neutral,0.25,0.35,0.25,0.15,,,
601339.SH,百隆东方,纺织制造,上交所,6.74,-2.4602,6.95,7.04,6.65,14705672.0,99589610.0,0.8845,7.092,7.143,7.283,7.7638,7.2011,6.2348,-2.958,0.0107,7.87,6.74,9.44,6.74,-14.3583,-28.6017,63.4921,40.2669,,,,,494419.38,24.0223,-0.0422,0.0,0.0,0.0,14.45342042,1.12113959,,,,60.3306,89.4215,-38.4711,25.5,49.2225,50.0,19.1128,neutral,0.25,0.35,0.25,0.15,,,
002686.SZ,亿利达,通用设备,深交所,5.65,-0.1767,5.6,5.67,5.38,12435903.0,68394780.0,1.7621,5.794,5.882,6.1895,7.0762,6.9319,6.7981,-5.8917,-1.4873,7.02,5.65,8.47,5.65,-19.5157,-33.294,0.0,36.1353,,,,,,19.4245,-0.0344,0.0,0.0,0.0,165.42235273,1.92670215,,,,76.7769,20.4132,-26.9752,21.0,43.98,50.0,19.1012,neutral,0.25,0.35,0.25,0.15,,,
