ts_code,name,industry,market,close,pct_chg,open,high,low,volume,amount,turnover_rate,ma5,ma10,ma20,ma60,ma120,ma250,ma20_slope,ma60_slope,high_20d,low_20d,high_60d,low_60d,close_vs_20d_high,close_vs_60d_high,price_percentile_1y,volatility_20d,main_net_inflow_1d,main_net_inflow_3d,main_net_inflow_5d,main_net_inflow_10d,northbound_flow,rsi_14,macd_hist,trend_strength_score,price_above_ma20_days,price_above_ma60_days,pe_ttm,pb,roe,net_profit_yoy,debt_ratio,pe_percentile_5y,pb_percentile_5y,value_score,growth_score,capital_score,sector_score,final_score,score_market_regime,score_weight_value,score_weight_growth,score_weight_capital,score_weight_sector,future_return_10,future_return_30,future_return_60
600637.SH,东方明珠,电视广播Ⅱ,上交所,10.86,10.0304,10.64,10.86,10.62,47175285.0,509793288.0,1.514,10.136,10.007,9.7315,10.5172,10.4742,9.2096,1.7301,-1.5861,10.86,9.09,12.4,9.09,0.0,-12.4194,86.5079,47.8443,,,,,-6887184.0,79.4425,0.2805,100.0,10.0,1.0,52.33003238,0.97573931,,,,74.6281,80.0,-41.1198,73.8,37.8008,50.0,32.5002,neutral,0.25,0.35,0.25,0.15,,,
601858.SH,中国科传,出版,上交所,23.35,0.8639,23.03,24.38,22.8,11350976.0,267566355.0,0.9771,23.024,22.342,22.352,22.004,20.5555,20.1547,-1.1127,0.8171,23.91,21.29,25.23,19.08,-2.3421,-7.4514,94.4444,44.1397,,,,,-3607802.46,64.1703,0.2833,75.0,4.0,6.0,31.641791,2.69837098,0.66,7.9,22.71,48.1818,42.3967,-23.5045,59.4333,40.2742,50.0,32.4941,neutral,0.25,0.35,0.25,0.15,,,
600995.SH,南网储能,电力,上交所,14.38,-0.4155,14.39,14.57,14.12,21591206.0,310723101.0,0.5774,14.352,14.235,14.0125,14.4293,13.6795,12.0511,-2.1952,0.2188,14.83,13.2,16.45,13.2,-3.0344,-12.5836,90.0794,39.0896,,,,,-4129072.26,72.8682,0.1625,50.0,3.0,0.0,22.9896353,1.76007114,,,,8.3404,51.9835,-10.915,51.9,38.1013,50.0,32.4616,neutral,0.25,0.35,0.25,0.15,,,
603988.SH,中电电机,电机Ⅱ,上交所,26.21,5.6429,24.5,26.66,23.7,13682134.0,347430763.0,3.2347,25.242,25.939,25.9385,27.802,26.7349,25.671,1.1445,-1.5551,27.98,24.26,38.13,23.07,-6.3259,-31.2615,63.8889,48.8796,,,,,,43.6019,-0.0984,75.0,1.0,0.0,137.93694655,6.40520636,,,,55.7143,60.6612,-29.6653,57.7,48.72,50.0,32.4587,neutral,0.25,0.35,0.25,0.15,,,
000768.SZ,中航西飞,航空装备Ⅱ,深交所,23.75,-0.1262,23.79,23.87,23.57,18275528.0,432856992.0,0.989,24.074,24.409,24.436,27.1325,26.4578,26.3226,-0.709,-1.7816,25.1,23.75,31.27,23.75,-5.3785,-24.0486,5.1587,22.3392,,,,,9333324.65,49.0814,0.132,25.0,0.0,0.0,51.26278478,2.52250142,,,,0.2479,0.2479,4.8513,30.0,52.9586,50.0,32.4525,neutral,0.25,0.35,0.25,0.15,,,
301571.SZ,国科天成,军工电子Ⅱ,深交所,69.63,5.2608,66.21,70.04,65.0,5516027.0,376489070.0,3.6105,71.208,72.415,69.5235,62.3258,56.7687,51.7047,3.8416,1.6467,77.14,63.19,77.14,54.41,-9.7355,-9.7355,96.4286,51.517,,,,,,57.9384,-1.1365,100.0,1.0,24.0,56.82953149,5.94103235,,,,85.5204,94.3439,-48.5181,70.5,49.6,50.0,32.4455,neutral,0.25,0.35,0.25,0.15,,,
000975.SZ,山金国际,贵金属,深交所,27.45,-0.5435,27.38,27.95,27.15,27753905.0,762435991.0,2.8888,28.68,29.389,29.8815,30.9265,27.3011,23.5947,1.3912,-0.8824,31.88,27.45,38.71,26.06,-13.8959,-29.0881,75.0,49.8009,,,,,508692.02,39.4912,-0.5643,25.0,0.0,0.0,14.46047156,3.26961761,,,,0.0,33.1405,-3.2851,34.0,55.456,50.0,32.4427,neutral,0.25,0.35,0.25,0.15,,,
002064.SZ,华峰化学,化学纤维,深交所,11.44,-0.9524,11.45,11.66,11.35,36106800.0,414012540.0,1.9502,11.42,11.177,10.954,11.3967,10.8208,9.1119,3.5839,-1.1507,11.55,10.26,13.76,9.48,-0.9524,-16.8605,83.3333,33.8873,,,,,-6993210.77,64.1732,0.2002,100.0,15.0,2.0,25.69804743,1.85868287,,,,86.6116,75.9504,-44.3017,74.8,39.2364,50.0,32.4137,neutral,0.25,0.35,0.25,0.15,,,
001896.SZ,豫能控股,电力,深交所,16.39,-2.1493,16.3,17.16,15.92,131307429.0,2175921495.0,9.4148,17.142,17.027,15.2055,12.7402,9.2418,7.1579,1.6546,7.5528,18.79,12.57,18.79,6.1,-12.7728,-12.7728,94.8413,98.1177,,,,,-5240636.4,67.427,0.1571,75.0,11.0,69.0,80.16113479,8.44417499,,,,61.2903,98.9256,-41.183,62.5,53.2133,50.0,32.3826,neutral,0.25,0.35,0.25,0.15,,,
002256.SZ,兆新股份,电力,深交所,4.53,1.7978,4.47,4.65,4.44,167693730.0,759730998.0,3.4508,4.41,4.292,4.094,3.9728,3.7734,3.1402,-1.0274,1.4254,4.53,3.74,4.87,3.53,0.0,-6.9815,98.4127,62.092,,,,,-8146337.32,74.1935,0.0982,75.0,4.0,11.0,161.45716496,6.80942721,,,,44.4444,94.2149,-34.1093,65.1,42.4969,50.0,32.3819,neutral,0.25,0.35,0.25,0.15,,,
